nom$estActiveUrn$estActiveUrn_fr$estActiveUrn_nl$estActiveUrn_en$estActiveUrn_de$typeOffre$typeOffre_fr$typeOffre_nl$typeOffre_en$typeOffre_de$adresse1_rue$adresse1_numero$adresse1_boite$adresse1_idIns$adresse1_ins$adresse1_cp$adresse1_localite_fr$adresse1_localite_nl$adresse1_localite_en$adresse1_localite_de$adresse1_commune_fr$adresse1_commune_nl$adresse1_commune_en$adresse1_commune_de$adresse1_lieuPrecis$adresse1_provinceUrn_urn$adresse1_provinceUrn_fr$adresse1_provinceUrn_nl$adresse1_provinceUrn_en$adresse1_provinceUrn_de$adresse1_pays_urn$adresse1_pays_fr$adresse1_pays_nl$adresse1_pays_en$adresse1_pays_de$adresse1_lambertX$adresse1_lambertY$adresse1_latitude$adresse1_longitude$adresse1_altitude$adresse1_noaddress$adresse1_parcNaturel_label$adresse1_parcNaturel_idPn$adresse1_organisme$adresse1_organisme_idMdt
"Les Trois Villages"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1018$82014$6666$Wibrin$Wibrin$Wibrin$Wibrin$Houffalize$Houffalize$Houffalize$Houffalize$"Centre village face taverne ""le Bastognard"""$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$246506,796875$95832,0546875$50,1663$5,71829$478,87958$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Le sentier des forgerons"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Luxembourg"$3$$1167$85046$6720$Habay-la-Neuve$Habay-la-Neuve$Habay-la-Neuve$Habay-la-Neuve$Habay$Habay$Habay$Habay$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$242122,78125$46962,3515625$49,72771$5,64517$404,87457$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"VI 10"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1198$85045$6760$Virton$Virton$Virton$Virton$Virton$Virton$Virton$Virton$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$239972,640625$29853,7109375$49,57425$5,61138$327,1781$false$"Parc Naturel de Gaume"$11$Gaume$10
"Sentier des Pêcheurs"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1018$82014$6666$Wibrin$Wibrin$Wibrin$Wibrin$Houffalize$Houffalize$Houffalize$Houffalize$"Centre village face taverne ""le Bastognard"""$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$246506,796875$95832,0546875$50,1663$5,71829$478,87958$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Voie des Sarts"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1178$85011$6820$Muno$Muno$Muno$Muno$Florenville$Florenville$Florenville$Florenville$"Si de Muno"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$210781,78125$46975,171875$49,73185$5,21054$339,77573$false$"Parc Naturel de Gaume"$11$Gaume$10
"Sentier de la Cornaille"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Maou"$9$$1077$85046$6721$Anlier$Anlier$Anlier$Anlier$Habay$Habay$Habay$Habay$"Église Notre-Dame de l'Assomption"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$240222,21875$51767,796875$49,7712$5,61994$436,94394$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Des Ruisseaux"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1018$82014$6666$Wibrin$Wibrin$Wibrin$Wibrin$Houffalize$Houffalize$Houffalize$Houffalize$"Centre village"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$246922,8125$95983,078125$50,16759$5,72415$433,2055$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
Grand-Hez$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1178$85011$6820$Muno$Muno$Muno$Muno$Florenville$Florenville$Florenville$Florenville$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$210781,78125$46975,171875$49,73185$5,21054$339,77573$false$"Parc Naturel de Gaume"$11$Gaume$10
"Sentier de la Rée"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Maou"$9$$1077$85046$6721$Anlier$Anlier$Anlier$Anlier$Habay$Habay$Habay$Habay$"Église Notre-Dame de l’Assomption "$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$240222,21875$51767,796875$49,7712$5,61994$436,94394$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Trou du Loup"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1018$82014$6666$Wibrin$Wibrin$Wibrin$Wibrin$Houffalize$Houffalize$Houffalize$Houffalize$"Centre village face taverne ""le Bastognard"""$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$246506,796875$95832,0546875$50,1663$5,71829$478,87958$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
